code,open,high,low,close,volume,abs_change,sq_abs_change,sq_abs_change100000
080160,21853.36185819071,22223.708231458844,21439.862265688673,21840.732681336594,200779.0260798696,0.01942176452565841,0.00037720493729012346,37.72049372901235
080220,3981.0513447432763,4071.519967400163,3891.487367563162,3973.6104319478404,497655.2510187449,0.01984019097487356,0.0003936331779194543,39.36331779194543
080420,4383.251833740831,4476.727791361043,4288.234718826406,4380.248573757131,250777.586797066,0.019424115865691677,0.0003772962771638151,37.729627716381515
080440,2405.274653626732,2515.0594947025265,2302.8524857375714,4040.3365933170335,573680.283618582,0.022946479494993413,0.0005265409212141532,52.65409212141532
080470,7331.446617766911,7549.743276283619,7153.3048084759575,7320.448247758761,363796.23308883456,0.024831718766981137,0.0006166142569224432,61.66142569224432
080520,6726.422167889161,6839.303178484108,6616.503667481663,6722.9339853300735,179147.73594132028,0.016378611369846686,0.0002682589104044711,26.82589104044711
080530,3008.522412387938,3104.1784841075796,2917.3488182559086,4364.502852485738,415897.54115729424,0.01598990504995172,0.00025567706350647146,25.567706350647146
080580,2769.512632436838,2846.2656886715567,2705.3317033414833,2780.1646291768543,88216.09698451508,0.02181052535947438,0.0004756990164562751,47.56990164562751
080720,14574.614357262104,15113.013355592655,14129.714524207011,14549.719532554258,687916.1769616026,0.030358231495435643,0.0009216222195304606,92.16222195304606
081000,22990.277913610433,23601.32110839446,22396.26324368378,22940.705786471066,315803.9087204564,0.024852231316889753,0.0006176334014281958,61.76334014281959
081150,2393.1499592502037,2465.484922575387,2334.1768541157294,2389.3806030969845,2159647.3643031786,0.024407156544776144,0.0005957092906012089,59.570929060120896
081580,4036.6462917685412,4091.3080684596575,3968.357783211084,4032.3757131214343,106304.00814995925,0.013880819217144428,0.00019267714213904607,19.267714213904608
081660,33528.52404237979,34147.096984515076,32830.36348818256,33564.59657701712,322640.7302363488,0.018384394184450543,0.00033798594952925894,33.798594952925896
081970,5989.350073855244,6192.090103397341,5819.401772525849,7947.178729689808,163394.72673559823,0.020506312209129296,0.00042050884041828525,42.050884041828525
082210,6371.862265688672,6515.277098614507,6232.648736756316,6363.708231458842,575439.7750611247,0.02279840730890561,0.0005197673758227607,51.976737582276066
082270,17407.334963325182,17885.452322738387,16914.78402607987,17390.912795436023,522588.00488997553,0.026164289686996165,0.0006845700548250539,68.4570054825054
082640,7066.401792991035,7149.845150774247,6968.989405052975,7060.211898940505,157430.67481662592,0.01391213370461171,0.00019354746421499313,19.354746421499314
082660,5178.888345558272,5304.60065199674,5029.781581092095,5193.836185819071,799102.7106764467,0.026138542570799686,0.0006832234077255075,68.32234077255075
082740,3611.641401792991,3697.99185004075,3520.3129584352077,3650.398533007335,657607.662591687,0.023346313717233377,0.0005450503641834793,54.505036418347935
082800,1562.7383863080684,1618.639771801141,1510.395273023635,1560.3080684596578,2914175.8524857378,0.029734321568993097,0.0008841298791682881,88.41298791682881
082850,1596.1442542787286,1649.035044824776,1547.880195599022,1593.6715566422167,995101.9714751426,0.02497491422634201,0.0006237463406131404,62.37463406131405
082920,9795.097799511002,9972.79380603097,9595.056234718826,12886.048084759575,84925.39690301548,0.013524387803537454,0.00018290906546047263,18.290906546047264
083310,11983.735941320294,12245.748166259169,11697.44009779951,11980.710676446617,224299.41238793806,0.023609449224308066,0.0005574060926751808,55.740609267518074
083420,3606.281173594132,3663.81010594947,3552.772616136919,3610.1303993480033,156079.5248573757,0.011102484806128974,0.0001232651688703247,12.32651688703247
083450,9064.657701711492,9259.894050529747,8853.879380603097,9062.277913610433,159813.86145069276,0.0205963113588361,0.0004242080415901209,42.42080415901209
083470,6014.095354523228,6220.339853300734,5825.766911165444,6638.491442542787,159408.02118989406,0.017641371635210918,0.00031121799317162434,31.121799317162434
083500,8321.03923647932,8543.90243902439,8095.440084835631,8308.266171792153,174542.41251325558,0.02693825645967505,0.0007256696610872245,72.56696610872245
083550,8161.007334963325,8356.499592502038,7951.327628361858,8134.58435207824,471050.00814995926,0.020822341921537944,0.0004335699230974365,43.35699230974365
083640,4717.913610431948,4882.381418092909,4567.192339038304,4999.832925835371,2413098.5150774247,0.03103670041762949,0.0009632767728136826,96.32767728136827
083650,3551.81336593317,3649.0709046454767,3453.268133659332,3541.5770171149143,303424.3545232274,0.025163330075280953,0.0006331931804775389,63.319318047753896
083660,3660.4417277913612,3772.126324368378,3537.289323553382,4953.555012224939,306741.7424612877,0.01855921135122755,0.0003444443259795335,34.44443259795335
083790,10299.740016299918,10579.18500407498,10026.070904645478,10282.515077424612,588774.3284433578,0.026496044703082443,0.0007020403849077432,70.20403849077432
083930,6724.637326813366,6851.340668296659,6585.285248573757,6726.58109209454,236291.85411572942,0.019147638204307017,0.00036663204880303766,36.663204880303766
084010,8377.02118989405,8531.898940505298,8225.521597392013,8376.650366748167,89744.39771801142,0.017457075647708754,0.000304749490169826,30.4749490169826
084110,36648.47514262429,37373.929910350445,35895.58924205379,37625.43113284434,58841.40097799511,0.020478621502662095,0.0004193739386492943,41.93739386492943
084180,1444.594947025265,1491.7351263243684,1397.4588427057865,1994.7954360228198,179722.48084759575,0.021178902797694146,0.00044854592371417693,44.854592371417695
084370,17900.162999185002,18258.39445802771,17514.80847595762,17885.16707416463,236771.71638141808,0.021545396111870178,0.00046420409361739055,46.420409361739054
084650,12650.648736756317,13083.007334963326,12251.947025264873,12642.709046454767,859394.0203748981,0.02840579660476504,0.0008068892807512811,80.68892807512812
084670,27109.709861450694,27380.603096984516,26775.054604726978,27100.60065199674,5314.900570497148,0.007948766632637211,6.31828909801267e-05,6.318289098012671
084680,2743.850855745721,2825.2730236348816,2676.2999185004073,2740.729421352893,1717828.444172779,0.023770362696682795,0.0005650301427318489,56.50301427318489
084690,9532.135289323553,9662.408312958436,9370.835370823146,9520.171149144255,101337.73186634066,0.01441763760682836,0.00020786827416183142,20.78682741618314
084695,6971.010594947025,7039.97555012225,6865.957620211899,6954.482477587612,9969.546862265688,0.011875383145116936,0.0001410247248433274,14.10247248433274
084730,9757.314588427058,9946.242868785655,9558.875305623473,9742.041564792176,126511.84759576202,0.019284914763021403,0.0003719079374170009,37.19079374170009
084850,54119.82456140351,55502.98245614035,52662.10526315789,54100.87719298246,447185.24210526317,0.029946980030807698,0.0008968216129655951,89.68216129655951
084870,5765.466177669112,5875.505297473513,5645.356968215159,5753.657701711491,189077.10513447432,0.021613740580768228,0.0004671537818927473,46.71537818927473
084990,88840.79869600652,90992.70415647922,86686.32844335778,88685.16707416462,379447.3447432763,0.027987615722221745,0.0007833066338147538,78.33066338147539
085310,2028.8590057049714,2079.41401792991,1981.0766096169518,2022.484107579462,1481004.6805215974,0.02461162308120435,0.0006057319906912708,60.57319906912708
085370,12585.00488997555,12877.849225753871,12317.358598207009,12567.329258353708,255658.29665851672,0.02355226297118595,0.0005547090910638968,55.470909106389676
