date,nsi
20191121,113.05
20191122,110.92
20191123,111.08
20191124,111.2
20191125,112.04
20191126,112.81
20191127,114.14
20191128,116.06
20191129,117.98
20191130,118.28
20191201,120.78
20191202,121.04
20191203,120.03
20191204,117.49
20191205,117.74
20191206,118.75
20191207,119.76
20191208,120.11
20191209,115.84
20191210,116.97
20191211,118.36
20191212,117.08
20191213,116.17
20191214,115.1
20191215,115
20191216,118.45
20191217,116.97
20191218,118.12
20191219,118.43
20191220,119.45
20191221,118.96
20191222,116.04
20191223,118.59
20191224,118.3
20191225,118.07
20191226,117.03
20191227,114.53
20191228,113.54
20191229,114.71
20191230,113.31
20191231,113.14
20200101,112.02
20200102,111.44
20200103,115.05
20200104,117.75
20200105,118.93
20200106,118.83
20200107,119.84
20200108,120.85
20200109,123.41
20200110,120.93
20200111,120.6
20200112,120.8
20200113,122.84
20200114,122.5
20200115,124.07
20200116,124.28
20200117,124.72
20200118,125.81
20200119,123.96
20200120,121.26
20200121,122.81
20200122,121.91
20200123,123
20200124,121.64
20200125,117.65
20200126,118.03
20200127,117.57
20200128,113.33
20200129,109.56
20200130,108.11
20200131,110.24
20200201,110.62
20200202,108.87
20200203,107.17
20200204,106.44
20200205,107.98
20200206,109.39
20200207,108.73
20200208,109.22
20200209,109.92
20200210,108.79
20200211,110.1
20200212,110.2
20200213,109.08
20200214,109.38
20200215,109.85
20200216,110.55
20200217,110.74
20200218,111.66
20200219,110.18
20200220,109.12
20200221,106.31
20200222,103.01
20200223,101.79
20200224,100.58
20200225,95.85
20200226,93.66
20200227,90.38
20200228,88.33
20200229,84.76
20200301,82.19
20200302,82.84
20200303,83.69
20200304,84.66
20200305,85.82
20200306,87.48
20200307,88.61
20200308,90
20200309,88.89
20200310,89.31
20200311,88.68
20200312,86.13
20200313,81.8
20200314,79.01
20200315,77.93
20200316,78.45
20200317,77.84
20200318,77.38
20200319,79.53
20200320,81.07
20200321,86.6
20200322,87.71
20200323,86.97
20200324,84.45
20200325,87.23
20200326,87.42
20200327,88.56
20200328,88.22
20200329,88.05
20200330,90.39
20200331,95.01
20200401,93.25
20200402,92.01
20200403,91.93
20200404,91
20200405,91.34
20200406,91.11
20200407,91.25
20200408,93.16
20200409,93.5
20200410,94.51
20200411,94.97
20200412,95.74
20200413,95.61
20200414,94.32
20200415,93.34
20200416,93.75
20200417,93.02
20200418,92.9
20200419,92
20200420,92.27
20200421,92.8
20200422,91.32
20200423,91.49
20200424,93.18
20200425,93.86
20200426,94.65
20200427,95.81
20200428,98.04
20200429,100.37
20200430,101.65
20200501,100.58
20200502,99.9
20200503,100.66
20200504,99.42
20200505,97.18
20200506,95.9
20200507,95.04
20200508,97.87
20200509,101.94
20200510,102.29
20200511,104.67
20200512,106.24
20200513,107.1
20200514,107.14
20200515,106.61
20200516,104.95
20200517,105.28
20200518,105.22
20200519,104.79
20200520,106.06
20200521,106.13
20200522,106.54
20200523,106.77
20200524,106.97
20200525,106.91
20200526,108.21
20200527,107.29
20200528,107.28
20200529,105.47
20200530,103.87
20200531,103.66
20200601,104.22
20200602,105.61
20200603,106.34
20200604,108.37
20200605,111.01
20200606,114.15
20200607,114.48
20200608,113.52
20200609,112.49
20200610,112.22
20200611,109.37
20200612,107.93
20200613,106.59
20200614,106.61
20200615,105.59
20200616,104.96
20200617,105.35
20200618,107.28
20200619,108.38
20200620,110.36
20200621,109.96
20200622,110.97
20200623,110.08
20200624,111.08
20200625,110.66
20200626,108.56
20200627,107.37
20200628,108.6
20200629,108.79
20200630,107.51
20200701,106.61
20200702,106.47
20200703,109.29
20200704,111.67
20200705,112.66
20200706,112.46
20200707,116.68
20200708,116.84
20200709,116.59
20200710,116.71
20200711,116.44
20200712,115.48
20200713,116.18
20200714,115.05
20200715,115.43
20200716,115.92
20200717,114.74
20200718,113.87
20200719,113.65
20200720,114.84
20200721,113.93
20200722,113.78
20200723,116.01
20200724,115.69
20200725,115.11
20200726,115.73
20200727,116.04
20200728,117.65
20200729,120.66
20200730,118.56
20200731,121.99
20200801,124.01
20200802,124.54
20200803,126.35
20200804,126.49
20200805,126.04
20200806,129.42
20200807,128.8
20200808,128.73
20200809,128.16
20200810,122.99
20200811,122.45
20200812,121.88
20200813,119.74
20200814,119.51
20200815,117.16
20200816,115.64
20200817,116.27
20200818,114.61
20200819,111.82
20200820,110.51
20200821,106.29
20200822,104.58
20200823,103.72
20200824,103.53
20200825,104.28
20200826,106.09
20200827,106.28
20200828,106.29
20200829,107.94
20200830,108.57
20200831,109.67
20200901,109.51
20200902,110.03
20200903,110.43
20200904,114.84
20200905,114.04
20200906,114.34
20200907,115.97
20200908,115.38
20200909,114.36
20200910,112.01
20200911,110.05
20200912,108.94
20200913,107.24
20200914,106.32
