code,mean_close,mean_changes,mean_chagesratio,mean_open,mean_high,mean_low,mean_volume,mean_amount,mean_marcap,mean_stocks,mean_rank
007700,52396.57142857143,1392.0816326530612,2.471869387755102,52458.0,53756.81632653061,51145.87755102041,79576.45959183674,4510413187.218776,806907200000.0,15400000.0,315.2628571428571
007720,2062.802448979592,44.481632653061226,2.1815918367346936,2064.8138775510206,2114.816326530612,2015.3542857142857,821403.1673469387,1759743533.0734694,207931415118.2449,100800450.0,764.7151020408163
007770,12360.310204081632,176.52244897959184,1.4336,12366.914285714283,12569.697959183672,12157.510204081633,9630.287346938776,120410190.87346938,43384688816.32653,3510000.0,1857.458775510204
007810,10542.58775510204,243.47755102040816,2.233477551020408,10569.673469387755,10787.673469387755,10317.183673469388,262992.6065306122,3174816103.877551,249023840258.91428,23620751.0,648.5608163265306
007815,4341.0708401976935,64.74052718286656,1.4695881383855025,4349.645799011532,4402.042833607908,4269.645799011532,4551.96705107084,22514559.880560134,12869929309.2257,2964690.0,2176.999176276771
00781K,5422.285012285012,90.74119574119574,1.633980343980344,5438.501228501228,5529.250614250615,5322.698607698608,6137.554463554464,39664374.7993448,4249439341.842752,783699.0,2288.137592137592
007820,11230.25306122449,243.28979591836736,2.16254693877551,11216.930612244898,11459.85306122449,10961.910204081632,214027.53714285715,2488252424.289796,217278929580.25305,19009727.71428572,745.3518367346938
007860,7688.587755102041,140.34285714285716,1.9896163265306124,7697.595918367347,7848.367346938776,7553.967346938775,725581.8277551021,6096762373.522449,178254204210.67755,23284124.457142856,880.8685714285714
007980,3189.4489795918366,54.310204081632655,1.7685387755102042,3193.534693877551,3253.318367346939,3127.530612244898,428349.1673469388,1065772604.3673468,147650058160.7796,46909177.911020406,944.5477551020408
008000,19323.43470483005,64.8479427549195,0.3374239713774598,19318.78354203936,19411.18067978533,19223.61359570661,6089.286225402505,121267540.25044724,895908847462.9696,46363851.0,213.8568872987477
008020,10420.131578947368,490.5263157894737,3.902236842105263,10411.184210526317,10664.473684210529,10156.184210526317,46787.05263157895,681083665.7894737,429820090861.0526,41249008.0,362.7894736842105
008040,1428.924081632653,22.765714285714285,1.5507673469387755,1432.5069387755102,1457.829387755102,1405.2995918367346,677521.2775510204,1099559016.1771429,155817393120.44083,114913679.04244898,913.3542857142858
008060,8476.952931461601,118.0842279108175,1.3837324525185797,8479.983484723369,8593.517753922379,8370.280759702726,238797.6639141205,2010466538.6655653,419473092260.8423,48861740.84062758,427.280759702725
00806K,6905.100806451613,200.76612903225808,2.6168951612903224,6950.262096774193,7157.096774193548,6728.729838709677,73736.45564516129,674739636.8951613,12992615922.17742,2006626.2983870967,2331.6290322580644
008110,4250.995918367347,43.88163265306122,1.043942857142857,4261.8938775510205,4311.832653061225,4193.824489795918,10564.87836734694,44906933.530612245,44594847378.848976,10490447.0,1839.8228571428567
008250,10409.269387755105,269.869387755102,2.4641632653061225,10420.518367346938,10675.171428571428,10165.236734693875,295507.5281632653,3895973085.567347,101126164888.31429,9804933.532244898,1232.8824489795918
008260,2935.248979591837,46.481632653061226,1.616065306122449,2935.889795918368,2992.6326530612246,2882.008163265306,281344.0514285714,864779208.9346939,83604073437.3796,28496050.71510204,1390.5967346938776
008290,3917.065306122449,108.34285714285714,2.737461224489796,3924.277551020408,4055.089795918367,3822.310204081633,748783.0685714285,3327659578.865306,149598058194.59592,38438608.21959183,937.9477551020408
008350,2018.052244897959,51.16897959183674,2.250897959183673,2017.207346938776,2074.955918367347,1970.48,6722472.291428572,21543325289.087345,222347159915.3143,110179090.0,832.2767346938775
008355,19773.06623058053,754.6852003270646,2.928233851185609,19770.91578086672,20653.761242845463,19086.24693376942,50746.63041700736,1481261056.1651676,6087929361.733442,307890.0,2262.3098937040068
